%time,field.x,field.y,field.z
102400000000,-4.04486754558,8.59644212322,0.0
102500000000,-4.10601314034,8.63445812303,0.0
102600000000,-4.16719476215,8.66847002025,0.0
102700000000,-4.22817138478,8.69856738711,0.0
102800000000,-4.28871092755,8.72485357668,0.0
102900000000,-4.34838829463,8.74797525174,0.0
102900000000,-4.40722591586,8.76752350814,0.0
103100000000,-4.46502169491,8.78363710254,0.0
103100000000,-4.52158515497,8.7964657808,0.0
103300000000,-4.57673801887,8.80616947102,0.0
103300000000,-4.63031473792,8.81291744664,0.0
103500000000,-4.6821629681,8.81688746278,0.0
103600000000,-4.73014475106,8.81820977266,0.0
103700000000,-4.77613429932,8.81722923683,0.0
103800000000,-4.8200259676,8.81414355122,0.0
103900000000,-4.86172865783,8.80915500158,0.0
104000000000,-4.90116600397,8.80246951509,0.0
104100000000,-4.94022968286,8.79386550488,0.0
104200000000,-4.98075625808,8.78283841545,0.0
104300000000,-5.02259766131,8.7692260323,0.0
104400000000,-5.06559353572,8.75287504506,0.0
104500000000,-5.10957176314,8.73364185725,0.0
104500000000,-5.15076685869,8.71317324463,0.0
104700000000,-5.18935640603,8.69203449263,0.0
104800000000,-5.22901898175,8.66873470536,0.0
104900000000,-5.26991151615,8.64359906072,0.0
105000000000,-5.31224395107,8.6169914499,0.0
105100000000,-5.35626968338,8.58931953465,0.0
105200000000,-5.4019887131,8.56058331496,0.0
105300000000,-5.44601444542,8.53291139971,0.0
105400000000,-5.48861083541,8.50672843655,0.0
105500000000,-5.52999787094,8.48241561504,0.0
105600000000,-5.57034148862,8.46031601068,0.0
105700000000,-5.60974549306,8.44073733774,0.0
105800000000,-5.65005886819,8.42310691559,0.0
105900000000,-5.69273857649,8.40594758869,0.0
106000000000,-5.73388272426,8.39035402897,0.0
106100000000,-5.77330356494,8.37586274471,0.0
106200000000,-5.81084722274,8.36206152159,0.0
106300000000,-5.8463808049,8.34859435638,0.0
106400000000,-5.87978231574,8.33516531794,0.0
106500000000,-5.91459841245,8.31993904427,0.0
106500000000,-5.95091907408,8.3031816716,0.0
106700000000,-5.98887791249,8.28520594945,0.0
106800000000,-6.02864431463,8.26637424055,0.0
106900000000,-6.07021828051,8.24668654487,0.0
107000000000,-6.11540737386,8.22528687565,0.0
107100000000,-6.16240403094,8.20303121967,0.0
107200000000,-6.21120825175,8.17991957692,0.0
107300000000,-6.2618200363,8.1559519474,0.0
107400000000,-6.31423938458,8.13112833111,0.0
107500000000,-6.36665873286,8.10630471482,0.0
107600000000,-6.41702831454,8.08183217426,0.0
107700000000,-6.46511732982,8.05726702395,0.0
107800000000,-6.50894189729,8.0331961435,0.0
107900000000,-6.54983443169,8.00806049887,0.0
108000000000,-6.58779961539,7.98208657297,0.0
108100000000,-6.62285713018,7.95549765316,0.0
108200000000,-6.65504134676,7.92851291297,0.0
108300000000,-6.68440096076,7.90134651708,0.0
